1000        70                
82        43        77        
63        63        50        
63        43        66        
99        76        73        
50        64        95        
79        56        56        
84        56        78        
50        65        63        
86        70        95        
73        46        47        
50        49        79        
71        46        76        
53        69        80        
67        56        96        
80        52        70        
98        43        54        
60        98        61        
90        61        62        
74        94        85        
59        91        61        
88        46        62        
52        88        64        
88        61        97        
44        81        57        
90        88        66        
81        87        61        
51        44        66        
73        46        67        
77        91        95        
58        87        61        
67        95        85        
92        45        44        
54        58        72        
75        84        44        
88        68        58        
86        74        80        
85        42        62        
50        73        86        
71        81        62        
47        52        88        
55        62        100        
95        96        92        
47        40        77        
92        56        96        
58        48        44        
59        90        42        
50        96        48        
40        76        47        
58        99        61        
61        65        47        
54        94        89        
90        63        89        
92        69        51        
76        74        94        
76        64        86        
71        65        85        
71        93        96        
98        44        58        
59        65        95        
61        51        54        
47        84        43        
100        64        99        
69        86        49        
63        60        48        
48        89        87        
92        84        90        
45        61        52        
80        76        86        
77        56        56        
74        93        48        
58        76        98        
98        95        45        
98        41        65        
82        66        63        
76        43        64        
41        58        94        
82        82        42        
84        77        40        
85        76        95        
58        83        72        
49        58        67        
90        60        56        
60        99        73        
98        57        65        
60        95        52        
62        71        64        
65        99        64        
53        42        59        
55        58        50        
46        93        51        
95        85        94        
46        55        87        
97        48        56        
66        60        86        
99        76        82        
70        79        76        
94        55        96        
95        51        84        
52        60        63        
41        49        44        
76        68        87        
67        58        40        
54        84        63        
84        52        91        
97        54        49        
84        71        63        
70        53        47        
69        55        78        
63        89        66        
54        81        79        
93        64        45        
87        99        98        
54        57        80        
87        48        55        
83        46        88        
57        64        62
